Id,CustomerId,time,Volume of transaction,Sales channel,Complaints,Credit rating,Gender,Age,Insurance type,Amount insured,Salary,Change
9697,15609735,2,1,0,1,533,0,51,6,12754556,7955902,1
3823,15585823,0,0,1,1,627,0,31,8,12813173,9613147,0
7160,15745375,2,0,1,1,640,0,23,3,7201276,16133313,0
9052,15597949,2,0,1,1,768,1,47,5,10455261,4813708,1
4347,15645271,2,1,0,1,615,0,24,8,10852807,17948841,1
989,15681206,0,0,1,1,722,1,49,3,16819766,14076557,1
4109,15807768,2,0,1,0,702,0,28,1,10303383,4032187,0
7737,15566563,0,0,1,1,777,1,30,4,13785131,500823,1
81,15663706,0,0,1,1,777,1,32,2,0,13645819,1
461,15718443,0,1,1,1,539,0,39,3,0,3669217,0
2024,15633043,1,0,0,1,545,1,39,6,0,3841074,0
8070,15583764,2,0,0,1,791,0,31,1,13024033,9654655,0
1192,15589572,1,1,1,1,785,1,61,4,12985572,17021482,1
1860,15778190,1,0,1,0,639,1,28,8,9784072,17822277,0
4790,15642022,1,0,0,1,621,0,34,8,0,4797265,1
47,15771573,2,0,1,0,637,1,39,9,1378438,1176228,1
3949,15717937,2,0,0,1,554,0,43,5,9990689,2498339,0
2504,15625942,1,1,0,1,619,1,45,0,0,1136454,0
2464,15725818,2,0,1,0,583,0,40,4,1070413,563563,1
1895,15649418,0,1,1,0,776,1,29,7,17817104,11581851,0
6383,15812040,0,0,0,1,594,0,36,6,15388015,13543172,0
3062,15697574,0,2,1,0,582,1,40,9,0,6095445,1
2238,15808784,0,1,1,0,835,0,28,2,16356961,15455928,0
2058,15787655,0,1,1,1,707,0,47,3,0,17430329,0
3573,15791988,0,1,1,0,670,0,68,4,0,114267,0
3022,15678168,1,1,1,0,648,1,27,7,0,16306043,0
3682,15572626,1,1,1,0,620,0,44,8,0,1562751,0
2197,15670753,1,0,1,0,614,0,35,2,12728378,3130235,0
8393,15752507,2,0,1,1,769,0,60,9,14884639,19283167,1
5570,15645847,2,2,1,1,569,0,35,2,10919666,10939319,1
3317,15575119,0,1,1,0,779,0,71,3,0,14689536,1
891,15780140,2,1,1,0,435,0,32,2,5701706,590711,0
2023,15731890,0,0,0,0,601,0,41,1,12397116,17281499,0
2999,15593014,0,0,0,0,525,0,33,1,11283335,17517856,0
2159,15641835,0,0,0,0,683,0,72,3,14099726,5287641,0
8415,15758031,1,0,0,0,760,0,38,3,9124185,8068235,0
8568,15779496,0,1,0,0,615,0,64,0,815641,3589609,0
9732,15622192,1,1,0,0,724,0,39,3,0,9556281,0
5894,15648067,0,1,1,1,583,0,39,1,12929928,731076,0
3505,15742834,0,0,1,0,640,0,45,1,0,1090833,0
3585,15741745,0,1,1,0,757,0,28,7,12091175,13124946,0
9031,15742323,0,1,1,1,541,0,39,7,0,1982302,0
1196,15739131,2,0,1,1,718,0,28,4,656433,2876099,0
3570,15706005,0,0,1,1,674,0,46,2,17470105,9018972,1
5848,15681887,2,1,1,0,758,0,33,0,12914254,2660628,0
2825,15576360,0,0,1,0,600,0,40,1,14113679,6780383,0
5139,15703728,1,0,1,1,700,0,47,4,0,12179852,1
5371,15580701,0,0,1,1,712,0,33,3,15381958,7917609,1
4849,15660301,2,1,1,0,491,0,70,6,14874592,1781833,0
2393,15657342,2,0,1,1,850,0,28,4,14797219,6070872,1
6911,15710087,2,2,1,1,705,1,54,3,1258893,960135,1
46,15602280,2,0,1,0,829,1,27,9,11204567,11970821,1
2108,15634949,2,1,1,0,593,0,74,5,16143436,6553217,0
3239,15776844,1,1,1,1,762,1,19,6,0,5550017,0
740,15637414,0,0,0,0,618,1,24,7,12873639,3714761,0
4069,15656613,0,0,0,1,646,1,34,3,13128311,13050065,0
6240,15626507,0,0,1,1,558,0,27,1,15228339,18327115,0
9899,15811594,1,0,1,0,660,1,28,3,12892988,19806971,0
7293,15716276,0,0,1,1,709,1,34,2,11166968,5702966,0
1485,15700212,0,1,0,1,475,1,46,10,0,1229530,1
7221,15690492,0,1,1,1,625,0,41,6,9766316,5712878,0
128,15575492,0,1,1,1,828,1,41,7,0,17137877,0
5033,15690743,0,0,1,0,536,1,61,8,6519029,6430849,1
7554,15569917,1,1,0,1,706,0,30,6,8760968,13767455,1
4736,15718773,0,1,1,1,638,1,32,0,0,16012999,0
8409,15590011,1,0,1,0,749,0,38,9,12937832,1354934,0
1889,15716324,0,0,1,0,665,1,23,9,1436729,11514733,0
7799,15619016,2,1,1,0,660,0,46,5,10901965,3368056,1
7834,15797165,0,0,0,1,703,0,56,9,0,8554733,1
4818,15588587,0,0,1,0,752,1,36,1,8683795,10528055,0
3145,15775590,2,0,0,1,482,1,48,2,6932947,10264052,1
5491,15639278,2,1,1,0,580,1,36,6,14538732,1699632,1
4491,15726832,2,0,1,0,850,0,61,3,14178402,9205375,0
3685,15642137,1,1,0,1,695,1,39,5,0,10276369,0
149,15794413,0,1,0,0,416,0,32,0,0,87887,0
4401,15689633,1,0,1,1,845,1,38,2,11280392,17963185,0
4235,15609299,0,0,1,1,595,0,29,6,15068579,8777106,0
167,15588537,1,0,1,1,615,1,41,9,10901323,19649996,0
494,15585865,0,1,0,1,673,1,38,2,17006192,13490134,1
2252,15604782,2,0,0,0,733,1,33,7,18725794,19043081,0
1245,15658052,0,0,1,1,626,1,44,10,8155393,2006363,1
3114,15636023,0,0,1,0,619,1,40,10,0,14709384,0
327,15736008,0,0,1,1,644,1,46,9,9544127,10876105,1
4332,15771543,2,0,1,0,507,0,31,2,13423707,16642366,0
908,15754713,1,0,1,0,685,0,31,10,13521371,12577728,0
1188,15639882,0,1,1,1,528,0,30,2,12826272,5077116,0
5845,15654300,2,0,0,0,530,0,33,9,7524228,10169467,0
7365,15593178,1,0,1,0,568,1,36,10,15361061,540838,1
4287,15657529,2,0,1,0,714,0,53,1,9914186,7249605,1
9337,15797751,2,0,1,0,466,1,47,5,10208572,18353624,1
8681,15746338,0,1,1,0,565,1,40,2,0,12995613,0
7059,15642934,2,1,1,1,669,1,35,4,1082692,17496992,0
5742,15632665,0,0,0,0,832,0,61,2,0,12780466,0
1655,15659105,0,0,1,1,669,1,47,9,6119654,5817024,0
3774,15691785,0,0,1,1,850,0,61,1,0,5306783,1
1931,15652693,0,0,0,1,573,1,26,4,12910902,14981468,0
3036,15610403,0,1,1,1,659,0,43,1,10608642,2690063,0
7151,15608688,0,1,1,1,442,0,34,4,0,6834308,0
4913,15733447,0,0,1,0,562,1,51,1,12466254,6539046,0
9603,15698927,0,1,0,0,675,0,39,7,0,3626721,0
9101,15660980,1,1,1,0,597,0,38,6,11570267,2505905,0
5306,15749638,0,0,1,0,605,1,51,9,10476082,16557454,1
3177,15759684,0,1,0,0,528,1,27,7,17622707,13948153,0
2662,15742272,0,0,0,1,669,1,44,8,9641809,13160948,1
4995,15583480,0,1,0,0,807,1,36,4,0,14700733,0
8278,15628715,0,1,1,0,709,1,36,8,0,6967655,0
2232,15671969,1,1,1,1,649,0,36,8,0,16166815,0
484,15676519,1,1,1,1,615,0,61,9,0,15022785,1
6463,15637411,0,1,0,0,749,0,30,1,0,12655165,0
7275,15642336,0,1,0,1,669,1,42,9,0,13563032,0
5392,15710012,1,1,1,1,738,0,44,2,0,4301882,1
3472,15761692,0,1,0,0,594,0,40,9,12241717,19088269,0
1398,15628947,0,1,0,1,693,1,38,3,0,7813348,1
2813,15600934,0,0,1,1,758,1,52,7,12509594,17118983,1
1116,15723250,0,1,1,0,519,0,42,8,0,10148572,0
6000,15658577,0,2,0,0,629,1,37,10,9954625,2513695,1
5583,15620579,1,1,0,0,695,1,31,8,0,13164441,0
1759,15757646,0,1,1,1,584,0,35,9,0,19238121,0
3319,15567114,0,0,0,1,430,0,35,1,11889422,292361,0
2517,15577064,2,1,1,1,592,0,36,2,10470265,10794872,0
7476,15737909,0,1,1,1,759,0,44,2,11109558,1001377,0
4215,15574213,0,0,1,0,789,1,53,1,15827174,503639,1
2318,15648005,1,1,1,0,672,0,33,2,0,1827380,0
276,15694456,0,0,1,0,756,0,62,3,0,1119904,1
8223,15603328,0,0,1,0,483,0,27,1,7780566,210189,0
8569,15733460,1,1,1,0,622,0,36,9,0,1048526,0
896,15733119,0,1,1,1,718,0,35,8,0,9482085,0
6230,15616954,0,1,0,0,592,0,71,4,0,1701354,0
2775,15782468,1,1,1,0,850,0,51,3,10979955,1245776,1
4715,15738220,1,1,1,1,800,0,38,1,0,5155343,0
6877,15695148,1,1,1,0,614,1,37,9,0,620231,0
877,15800228,1,1,1,0,652,1,42,4,0,3815201,0
881,15571928,0,2,1,1,679,1,43,4,0,11513651,1
9897,15810563,1,1,1,0,678,1,61,8,0,15993882,0
7613,15768449,0,1,1,0,634,1,37,7,515825,18431288,0
3152,15724161,0,2,1,1,644,1,40,9,13728526,7706363,1
1497,15694296,0,1,1,1,631,0,35,9,11239245,2447223,0
9411,15796115,2,2,1,1,689,1,40,4,7811959,11925934,1
1586,15595282,0,1,1,1,735,1,33,4,0,14947469,0
4219,15813504,2,0,0,0,543,1,25,1,14656601,16140748,0
3491,15751593,2,0,1,1,570,0,35,6,8566859,10552536,0
4941,15715047,1,0,1,1,640,0,43,9,17247815,1910844,1
1837,15619343,0,1,1,1,561,0,56,7,1527590,13316711,1
6853,15593943,0,0,1,0,685,1,43,1,13266717,4187698,0
3604,15755798,0,0,0,1,610,0,33,4,11158211,11394317,0
1154,15766887,1,1,1,0,538,0,39,2,1227735,5846708,0
902,15792388,0,0,1,0,645,1,48,7,9061234,14913913,0
6087,15730759,0,0,1,1,561,1,27,9,1356370,1530804,1
333,15728669,2,0,1,1,584,1,30,8,11201381,17777203,1
2597,15668818,1,0,1,0,592,1,40,2,20032245,11324473,0
3200,15720745,1,0,1,0,635,0,24,4,14019718,14293583,0
1423,15589221,2,1,1,0,657,0,30,1,13976213,2331788,0
1651,15585067,1,0,1,0,634,0,31,9,10863248,17948596,1
5390,15573851,0,2,0,1,735,1,38,1,0,9222012,1
600,15683503,0,2,0,0,601,1,43,8,0,11091615,1
1704,15739054,0,0,0,0,654,1,29,4,9697497,14140407,0
3241,15629739,2,0,1,0,621,1,31,8,10037539,9038426,0
5424,15566253,2,0,0,1,580,0,44,9,14339107,14689107,1
5617,15797329,0,0,1,1,626,0,43,4,13763869,13044208,1
83,15701164,0,0,1,0,506,1,34,4,9030762,15923529,0
5674,15767598,1,1,0,1,540,0,28,8,0,19758832,0
5349,15567246,2,1,1,0,684,0,32,3,10263013,12743347,0
8963,15796993,0,1,0,1,741,0,52,1,1712363,218344,0
6936,15679928,0,1,0,0,592,1,31,2,8410211,11638524,0
1218,15730038,0,0,0,1,706,1,23,5,0,16412841,1
5381,15663883,2,1,1,0,850,0,32,9,14182733,14945873,0
617,15766575,2,0,1,1,612,1,62,8,14074533,19343789,1
9566,15743193,0,1,1,1,644,0,37,6,1172718,10421796,1
4292,15800287,1,1,1,1,706,1,46,2,12766046,15015682,1
6232,15718242,2,0,0,1,725,1,47,1,10488743,8662256,1
490,15714689,1,0,1,0,591,0,29,1,9754124,19635617,0
5234,15668323,0,0,1,1,678,1,41,1,14344361,19662228,1
4147,15712409,2,1,1,0,749,0,66,6,18253223,19542992,0
7433,15671293,2,0,1,0,779,1,37,2,12838963,658916,1
7084,15571415,2,0,1,1,805,0,56,6,15180229,4679109,1
5123,15744606,1,0,0,0,832,0,29,8,9383386,1041787,0
648,15633064,0,1,1,1,438,1,36,4,0,644205,0
3253,15606472,0,0,1,0,585,1,38,5,0,8736356,0
9666,15781689,1,1,1,1,758,0,35,5,0,950096,0
1786,15603846,1,1,1,1,711,0,37,2,0,8397886,1
813,15775306,2,2,1,0,421,0,28,8,12238422,8901738,1
7876,15757607,0,0,1,1,623,0,45,0,0,19653372,1
2589,15701096,0,0,1,1,778,0,44,8,12386364,14449494,0
7783,15681332,0,0,1,1,437,1,43,6,0,14833097,1
5179,15620000,2,1,1,0,760,0,34,6,12130377,5932521,0
4289,15642579,1,0,1,0,731,1,37,1,1289324,18071252,0
7763,15767064,1,0,1,0,614,1,36,1,4405484,7332908,0
3820,15763148,0,0,0,1,576,0,39,9,8471998,19106336,0
4504,15788930,1,0,1,1,761,0,37,7,13273017,19929301,0
7328,15689786,2,0,0,1,850,0,56,1,16974383,1558504,1
9099,15768881,0,1,1,0,738,0,29,2,0,17042113,0
1637,15678626,1,1,0,1,538,1,31,0,0,17945366,0
6483,15621195,2,1,1,1,619,0,41,3,14797416,17051883,0
2144,15613712,1,1,1,1,634,0,34,1,0,6199557,0
762,15637876,2,0,0,1,663,1,36,6,772535,3581797,1
4455,15782531,1,1,1,1,684,1,31,8,0,18863705,0
3083,15814816,0,0,1,1,466,0,40,4,9159206,14121018,0
8073,15601030,2,0,1,0,777,1,34,5,9669366,17261852,1
3873,15616240,1,1,1,0,530,0,37,4,0,16484437,0
7165,15709252,2,0,0,0,616,1,28,10,10517399,2983537,1
8596,15780966,0,1,0,1,709,1,32,2,0,10968129,0
3874,15624186,2,0,0,0,813,1,25,5,12361643,13295933,0
3666,15725068,1,1,1,0,701,1,21,9,0,2632742,0
6472,15588419,2,0,1,1,651,1,34,10,14896246,6638943,1
9302,15752534,0,1,1,0,744,0,36,10,0,18286784,0
6408,15738497,1,1,1,1,729,0,44,4,10772693,15306487,0
4398,15707007,0,0,1,1,743,1,39,8,0,9426344,0
7149,15699340,0,1,1,1,680,0,37,4,0,6124087,0
1372,15723006,0,1,0,0,489,0,38,8,0,19699079,0
7314,15686670,0,1,1,1,588,1,36,2,0,925360,0
3957,15756610,2,0,0,1,657,1,38,5,12377046,4701966,1
5452,15798256,0,1,0,1,558,1,45,1,15369753,898914,1
7736,15685640,0,0,1,0,649,1,41,3,13093183,14480837,0
9271,15774285,1,0,1,0,649,1,47,8,11078328,7142016,1
7897,15639252,1,1,1,0,603,0,30,6,1295485,1928285,0
2794,15597930,0,0,0,1,646,0,52,8,5966943,17249581,1
5111,15742886,0,1,0,0,642,0,26,1,13802379,1170602,0
9358,15729359,0,1,1,0,837,1,29,9,0,4186626,0
5645,15785373,1,0,1,1,717,1,42,5,19030578,993478,1
1418,15649280,2,0,1,1,521,1,40,9,13450478,1808206,1
6425,15566894,0,0,0,1,793,0,39,3,13781752,8399779,0
5770,15694381,0,0,1,1,631,0,51,8,1006548,1715879,0
7055,15621546,0,0,1,0,620,1,33,9,12763835,19271757,0
2360,15670205,2,0,1,1,518,1,41,5,11062499,8932767,0
70,15703793,2,2,1,1,738,0,58,2,13374544,2837386,1
6535,15776985,0,1,0,0,652,1,36,6,11251871,11042131,0
146,15705707,1,1,1,1,635,1,29,8,13829694,14107551,0
9437,15804864,0,0,1,0,670,1,27,5,7933661,2617008,0
4065,15809838,1,1,0,1,697,0,30,1,0,73579,0
4624,15710543,0,0,1,0,629,0,46,1,1306662,16112567,1
803,15712825,1,1,0,0,511,1,29,9,0,14067698,0
5087,15624641,1,0,1,1,740,0,43,9,0,19929068,1
563,15665956,0,0,1,1,509,1,46,1,0,7124459,1
8814,15589725,0,1,1,0,740,1,51,4,0,17892984,0
9314,15645371,2,0,1,0,613,1,51,7,14726211,536309,1
1227,15613844,0,1,1,1,557,1,28,7,14644524,18431774,0
9332,15638882,2,0,1,1,710,1,62,9,14821436,4857114,1
9231,15767781,0,0,1,1,648,0,38,10,8269728,7484667,0
4437,15779522,0,1,1,1,736,1,24,0,0,10935573,0
5255,15745533,0,1,1,1,799,1,63,1,11031421,374640,1
5221,15654067,1,1,1,1,584,1,29,4,0,8886692,0
3952,15796114,0,0,0,1,594,1,34,7,14152555,944315,0
536,15592846,2,1,1,1,639,0,35,10,1281739,5909339,0
3194,15673539,0,0,1,1,690,1,26,3,11809787,6125783,0
3744,15718507,2,0,1,0,647,0,37,3,11650999,14951771,1
1383,15696637,0,0,0,0,571,1,23,10,15109728,1716375,0
8446,15630511,0,1,1,1,691,1,33,6,0,16407489,0
4142,15609623,0,0,1,1,637,1,63,5,0,2809277,1
8794,15578671,1,0,1,0,706,1,29,1,20949021,13326769,1
9175,15703413,0,0,1,1,519,1,38,7,12532856,18822567,0
5950,15806808,2,2,1,1,834,1,57,8,1122816,14022514,1
4867,15768124,0,0,1,1,648,1,34,3,0,5472643,0
572,15622003,0,1,1,1,745,0,35,9,9256653,16151977,0
8886,15779620,0,0,0,0,575,0,36,1,0,9457056,0
9945,15674000,0,1,0,0,645,0,44,10,0,16670722,0
9137,15583026,0,0,1,1,535,1,38,0,13591933,8042565,0
9863,15726179,2,1,1,0,757,1,43,5,13143333,349743,1
4180,15569438,2,1,0,1,607,0,36,10,10670294,19831369,0
8151,15750970,1,0,1,0,500,0,40,1,9900424,15284599,0
398,15762218,0,1,0,0,701,1,39,9,0,1458949,0
3349,15603465,2,1,1,1,665,1,45,5,15544765,5187195,1
3660,15736431,1,1,1,1,494,0,27,2,0,2240464,0
662,15667215,0,1,1,0,678,0,31,2,0,5880328,0
9283,15752186,0,1,1,1,562,1,27,3,0,2813703,0
1023,15682639,0,1,1,0,642,0,32,3,0,8869883,0
6038,15700964,2,0,1,0,624,1,27,7,10484868,16738736,0
7888,15683657,0,0,1,1,594,1,31,0,7934095,7825586,0
4606,15784958,0,2,1,0,797,1,55,10,0,4941887,1
5943,15658813,0,1,1,0,645,1,55,7,0,1836933,0
7745,15701166,0,1,1,0,660,0,40,5,13175411,3876161,0
8833,15760873,0,0,1,0,594,0,50,7,8131034,18386801,0
1868,15574947,0,1,0,0,656,0,36,8,9778608,2147836,0
8001,15798053,1,1,1,1,707,0,32,9,0,12647579,0
978,15799515,0,0,1,1,652,1,48,8,13329724,7776437,0
932,15634141,2,1,1,1,708,1,42,8,19239052,82336,0
9567,15696733,0,0,1,1,724,0,29,4,0,898275,0
1394,15582180,0,0,1,0,561,0,29,9,12026813,17387039,0
9587,15653050,2,0,1,1,719,1,76,10,9505229,17624487,1
7701,15702801,0,0,0,1,677,1,29,3,8661635,919039,0
4744,15582849,0,0,1,0,757,1,51,1,0,2283513,1
586,15722010,1,0,1,1,621,0,53,9,17049184,3558807,1
6359,15739972,2,2,1,1,650,1,45,9,15236721,15083521,1
3303,15784320,0,0,1,0,632,1,44,3,13379389,3460714,1
8375,15658614,2,1,1,0,565,1,38,7,14540069,8384479,0
2806,15787529,1,0,1,1,592,0,38,0,0,6598648,1
5705,15698703,2,1,1,0,628,0,40,5,18176832,12910797,0
6831,15696989,2,2,0,1,469,1,52,8,13949325,15009332,1
404,15642291,0,1,1,0,685,0,23,8,0,11223903,0
7612,15599535,1,0,1,0,678,0,28,5,13866818,5414401,0
2800,15646817,0,1,1,1,769,0,51,9,15677378,4025779,1
7945,15654870,0,1,1,0,759,1,45,8,0,9925124,0
3221,15619465,1,1,0,0,555,1,24,2,0,19786655,0
3415,15710689,1,0,0,1,578,0,40,6,6360992,7496561,0
4462,15676937,1,1,1,0,635,1,32,8,0,1936798,0
2619,15800062,1,0,0,1,850,0,49,8,0,2586767,1
3405,15793693,0,0,1,0,694,0,60,9,0,5708897,0
2088,15615020,2,1,0,0,595,1,41,9,15046311,8154838,0
1443,15598751,0,2,0,1,556,1,43,6,0,12515457,1
2563,15645463,0,1,1,0,843,1,27,5,0,6749423,0
395,15807432,2,1,0,0,645,1,37,2,13692509,15340024,0
1390,15727281,0,1,1,1,653,1,27,9,0,9642929,0
8441,15677136,0,1,0,1,624,1,23,5,0,13241859,0
8447,15792627,1,0,1,0,765,1,33,5,8455782,6903943,0
5949,15714575,2,0,0,0,742,1,44,8,10792602,1737527,1
3409,15593736,2,0,0,1,598,1,46,7,13176904,18498023,1
8465,15601569,0,0,1,1,598,1,40,2,17117825,13798058,1
2335,15581440,2,1,1,0,724,1,48,6,11046325,8055211,1
3534,15614687,2,1,1,0,677,1,44,4,14877061,19105776,0
6918,15721116,1,1,1,0,597,0,24,0,10805807,18782611,0
5290,15743490,2,0,1,1,795,1,56,9,9434894,2923929,1
9289,15676810,0,1,1,0,561,1,31,1,8148027,652346,0
7603,15712483,1,1,1,1,608,1,28,4,0,1089963,0
573,15607312,1,1,1,0,648,1,49,10,0,15983578,1
1343,15645778,1,0,1,1,670,0,42,3,8158904,1882278,1
9125,15604138,1,0,0,1,749,0,34,2,0,17418904,1
8072,15661473,2,0,1,1,780,0,51,4,12672525,19525931,1
585,15718057,0,0,0,1,760,1,51,2,10094671,1796148,1
4829,15692599,0,0,1,1,687,0,34,5,12827056,19109262,0
7215,15684440,2,0,1,0,548,0,32,2,9898628,5586738,0
1329,15645572,0,0,1,1,743,1,40,6,0,282808,1
1277,15721719,0,1,1,0,743,0,42,7,770022,8042842,0
6774,15569432,0,1,1,0,656,1,48,9,0,8524061,1
2994,15710257,0,0,0,0,625,1,39,3,13078692,12131607,0
4237,15736271,0,0,1,1,498,1,29,9,0,19003583,0
3439,15662063,0,0,1,0,746,0,36,7,14240077,19343869,0
5233,15591286,2,0,1,0,731,1,49,4,8882607,3375941,1
8959,15627195,2,1,1,1,568,0,26,1,11293028,2209573,0
